Person,sterbeort
Q110163624,Q100041
Q61067,Q1022
Q192365,Q1084264
Q96145569,Q1085
Q166876,Q116214691
Q134189,Q128105
Q1510167,Q12892
Q2474031,Q13360
Q3635444,Q13375
Q1398,Q13496
Q365835,Q13666
Q751353,Q1492
Q6042553,Q1492
Q456569,Q156439
Q569607,Q167141
Q107020051,Q16869
Q1306304,Q1729
Q84770,Q1735
Q60625,Q1741
Q71997,Q1741
Q95506,Q1741
Q1277022,Q1741
Q9438,Q1775258
Q150726,Q178582
Q108197,Q1799
Q711964,Q18484193
Q310777,Q188743
Q3071870,Q1891
Q3664313,Q2028
Q61482495,Q20436
Q773822,Q2044
Q250414,Q2044
Q239820,Q2044
Q1451203,Q205116
Q71314,Q2079
Q1782143,Q2079
Q42356902,Q2090
Q64233,Q2090
Q21529272,Q2090
Q62663,Q2090
Q86276,Q2090
Q19543,Q2090
Q810023,Q2090
Q356513,Q210769
Q134461,Q220
Q190368,Q220
Q7220735,Q220
Q455140,Q220
Q109598,Q220
Q8827,Q220
Q809517,Q220
Q61472556,Q220
Q3619800,Q220
Q712941,Q220
Q3903795,Q220
Q96685,Q220
Q2343706,Q220
Q125556,Q220
Q454652,Q220
Q1236821,Q220
Q16550450,Q220
Q163079,Q220
Q65378,Q22727
Q1271148,Q22730
Q71848,Q22737
Q107354827,Q23991339
Q243203,Q2634
Q41733847,Q2749
Q6291113,Q2749
Q1696190,Q2749
Q69024,Q2833
Q104068,Q2843
Q8011,Q28587
Q1986849,Q2861
Q1874307,Q2861
Q1619455,Q2861
Q1610605,Q2861
Q43939,Q29303
Q310371,Q2970221
Q1697670,Q2978
Q95863,Q2999
Q77107,Q303431
Q209102,Q3138
Q142999,Q319242
Q98478165,Q3376
Q1697690,Q3376
Q983688,Q34374
Q1401,Q34638
Q316295,Q3476
Q86263,Q365
Q55194217,Q365
Q1116188,Q365
Q55132913,Q365
Q1677768,Q365
Q4148122,Q365
Q190089,Q365
Q66486,Q365
Q2060312,Q3834
Q3606765,Q3846739
Q191748,Q3955
Q1694304,Q4024
Q7026494,Q40827513
Q556117,Q41876
Q93386966,Q456
Q281179,Q456
Q3610149,Q490
Q43689,Q490
Q6791542,Q505160
Q1453903,Q505166
Q5162643,Q5060420
Q124121,Q518786
Q26456,Q5489
Q51672,Q5687
Q310359,Q5882
Q4210567,Q617
Q3763946,Q6259
Q3620052,Q641
Q708493,Q641
Q88303710,Q641
Q3888914,Q641
Q965340,Q641
Q3616075,Q641
Q3765728,Q641
Q20085666,Q641
Q3638690,Q641
Q188411,Q647070
Q64779403,Q6537
Q41617294,Q6537
Q1570304,Q6602
Q55124774,Q6602
Q60351,Q6602
Q735685,Q6602
Q735685,Q6602
Q9546,Q681427
Q102787,Q6910
Q43499,Q78
Q119737,Q78
Q69342,Q78
Q1305022,Q78
Q106936,Q78
Q116611,Q78
Q322560,Q8356
Q859,Q844930
Q868,Q846127
Q127398,Q85
Q8018,Q858024
Q44024,Q87
Q55126873,Q8717
Q2337208,Q8717
Q105283188,Q8818
Q942766,Q90
Q1969164,Q90
Q1347826,Q90
Q3131058,Q90
Q679093,Q90
Q32500,Q936453
Q1851906,Q9580
Q690346,Q9783
