wikidataID,herkunftsland
Q8011,Q12150341
Q127398,Q123559
Q983688,Q12544
Q192365,Q12544
Q2379728,Q142
Q3172136,Q142
Q3106572,Q142
Q43939,Q142
Q942766,Q142
Q59631368,Q142
Q356513,Q142
Q3298602,Q142
Q26456,Q142
Q3345779,Q142
Q15431520,Q142
Q926670,Q142
Q1451203,Q142
Q1969164,Q142
Q556117,Q142
Q1347826,Q142
Q965340,Q142
Q3119650,Q142
Q113831884,Q142
Q3131058,Q142
Q2379744,Q142
Q59628751,Q142
Q679093,Q142
Q188411,Q142
Q654957,Q142
Q569607,Q142
Q281179,Q142
Q310777,Q142
Q18530850,Q145
Q190089,Q145
Q134461,Q1747689
Q8018,Q1747689
Q365835,Q1747689
Q190368,Q1747689
Q43689,Q1747689
Q134189,Q1747689
Q1398,Q1747689
Q109598,Q1747689
Q8827,Q1747689
Q243203,Q1747689
Q355350,Q1747689
Q44024,Q1747689
Q142999,Q1747689
Q454652,Q1747689
Q209102,Q1747689
Q163079,Q1747689
Q55123876,Q183
Q86263,Q183
Q32500,Q183
Q3547965,Q183
Q1306304,Q183
Q1873044,Q183
Q6042553,Q183
Q1570304,Q183
Q1116188,Q183
Q813319,Q183
Q1579225,Q183
Q55122709,Q183
Q1694304,Q183
Q55127731,Q183
Q71314,Q183
Q1696342,Q183
Q1782143,Q183
Q64233,Q183
Q69342,Q183
Q84770,Q183
Q104443,Q183
Q1345986,Q183
Q91579,Q183
Q1986849,Q183
Q102787,Q183
Q62663,Q183
Q4148122,Q183
Q150726,Q183
Q1697147,Q183
Q71848,Q183
Q113788070,Q183
Q99111,Q183
Q66486,Q183
Q60625,Q183
Q65378,Q183
Q95863,Q183
Q77107,Q183
Q61067,Q183
Q108197,Q183
Q69024,Q183
Q86276,Q183
Q1453903,Q183
Q71997,Q183
Q95506,Q183
Q19543,Q183
Q735685,Q183
Q1781989,Q183
Q735685,Q183
Q1419156,Q183
Q4013637,Q183
Q1735827,Q183
Q2060312,Q183
Q103913,Q183
Q96685,Q183
Q2343706,Q183
Q125556,Q183
Q106936,Q183
Q191748,Q183
Q810023,Q183
Q1874307,Q183
Q1541796,Q183
Q1448675,Q183
Q1696190,Q183
Q1619455,Q183
Q1610605,Q183
Q104068,Q183
Q2526799,Q183
Q124121,Q183
Q456569,Q183
Q1697690,Q183
Q751353,Q199442
Q310371,Q199442
Q7325689,Q27
Q65007316,Q28
Q47497406,Q29
Q2337208,Q29
Q322560,Q29
Q462009,Q29
Q372817,Q29
Q1851906,Q29
Q712941,Q29
Q107354827,Q29
Q166876,Q2940142
Q43499,Q330533
Q55950264,Q36
Q9546,Q3708094
Q3664313,Q38
Q113791569,Q38
Q3606765,Q38
Q3620052,Q38
Q708493,Q38
Q310359,Q38
Q41617294,Q38
Q18945373,Q38
Q88303710,Q38
Q3888914,Q38
Q3616075,Q38
Q3765728,Q38
Q655684,Q38
Q20085666,Q38
Q3638690,Q38
Q250414,Q38
Q1236821,Q38
Q17325063,Q39
Q119737,Q39
Q28846481,Q39
Q23060039,Q39
Q1305022,Q39
Q116611,Q39
Q121370,Q39
Q7220735,Q39193
Q859,Q41
Q1510167,Q55
Q6291113,Q55
Q3071870,Q38
Q690346,Q31
