wikidataID_ort,wirkungsort,wikidataID_land,land
Q104028,Gent,Q31,Belgien
Q1218,Antwerpen,Q31,Belgien
Q12892,Köln,Q183,Deutschland
Q1296,Mainz,Q183,Deutschland
Q13134,Frankfurt (Main),Q183,Deutschland
Q14825,Nürnberg,Q183,Deutschland
Q1492,Leipzig,Q183,Deutschland
Q1720,Augsburg,Q183,Deutschland
Q1741,Braunschweig,Q183,Deutschland
Q1794,Freiburg im Breisgau,Q183,Deutschland
Q1891,Lübeck,Q183,Deutschland
Q2044,Heidelberg,Q183,Deutschland
Q2079,Ulm,Q183,Deutschland
Q2090,Reutlingen,Q183,Deutschland
Q220,Rostock,Q183,Deutschland
Q22730,Frankfurt (Oder),Q183,Deutschland
Q243467,Esslingen am Neckar,Q183,Deutschland
Q2749,Tübingen,Q183,Deutschland
Q2773,Lutherstadt Wittenberg,Q183,Deutschland
Q2833,Memmingen,Q183,Deutschland
Q2843,Paris,Q142,Frankreich
Q2861,Lyon,Q142,Frankreich
Q2966,Straßburg,Q142,Frankreich
Q3012,Hagenau,Q142,Frankreich
Q3085,Kloster Cîteaux,Q142,Frankreich
Q34370,Jerusalem,Q801,Israel
Q365,Judäa,Q801,Israel
Q3786,Rom,Q38,Italien
Q3806,Mailand,Q38,Italien
Q4024,Venedig,Q38,Italien
Q456,Padua,Q38,Italien
Q490,Bologna,Q38,Italien
Q5475,Florenz,Q38,Italien
Q617,Pavia,Q38,Italien
Q6259,Treviso,Q38,Italien
Q641,Vicenza,Q38,Italien
Q6537,Chivasso,Q38,Italien
Q6602,Pesaro,Q38,Italien
Q6837,Subiaco,Q38,Italien
Q78,Rotterdam,Q55,Niederlande
Q84125,Gouda,Q55,Niederlande
Q843261,Wien,Q40,Österreich
Q90,Basel,Q39,Schweiz
Q9275,Barcelona,Q29,Spanien
